name,price,score,review,reviews_amount
Grand Baltic Dunes,€ 401,8.8,Excellent,"4,933"
Orange Holiday,€ 326,9.8,Exceptional,125
Kerpė Hotel & SPA,€ 460,8.9,Excellent,"1,304"
Jurates apartaments,€ 186,8.9,Excellent,86
Žilvinas Hotel,€ 723,9.1,Wonderful,688
"Gražus butas, ramioje kaiminystėje, netoli jūros",€ 303,8.7,Excellent,3
Ramybės Oazė,€ 218,9.2,Wonderful,4
Arciau Juros,€ 396,9.3,Wonderful,281
Aviatorvila,€ 181,8.5,Very Good,40
Guest House Nika - Cottages and rooms in the heart of Palanga city center,€ 201,10,Exceptional,7
Gabija Hotel & SPA,€ 786,8.7,Excellent,"2,928"
Senoji Hansa Hotel,€ 486,9.2,Wonderful,"1,345"
Neringos 22,€ 141,8.5,Very Good,164
Apartamentai Auska,€ 246,8.2,Very Good,581
2NIGHT in Šventoji,€ 346,9.3,Wonderful,192
Sveciu namai Audra,€ 321,8.7,Excellent,242
Baltas Namas,€ 336,9.2,Wonderful,295
3 ruoniai,€ 239,8.6,Excellent,5
Arno Namai,€ 239,9.3,Wonderful,122
Vila Ramybe,€ 336,8.6,Excellent,579
Seaside apartments,€ 421,9.4,Wonderful,450
"Palanga Park Hotel, Tubinas Hotels",€ 399,8.1,Very Good,"2,277"
Vila Ieva,€ 375,9.4,Wonderful,323
Vila Ieva,€ 375,9.4,Wonderful,323
Mociutes Palanga,€ 156,8.9,Excellent,193
Svečių namai pajuryje,€ 246,10,Exceptional,1
Vila Arona,€ 166,9.6,Exceptional,180
Jurates apartaments,€ 186,8.9,Excellent,86
Vytauto 50a,€ 173,7.3,Good,68
Vila Levita,€ 546,9.5,Exceptional,369
Gerika guest house,€ 339,9.4,Wonderful,242
White Rainbow šeimos apartamentai,€ 456,9.0,Wonderful,3
Guest House & Villa Astoma,€ 386,9.1,Wonderful,880
Žilvinas Hotel,€ 723,9.1,Wonderful,688
Vila Uosis,€ 216,8.8,Excellent,303
"Poilsio namai ""Vyturys""",€ 163,6.8,Review score,"1,227"
Vila Domino,€ 246,9.2,Wonderful,286
Seaside Central Hotel,€ 456,8.2,Very Good,110
Edžio apartamentai,€ 333,9.6,Exceptional,69
Pajūrio Gintaro namai,€ 246,8.7,Excellent,286
Vila Elena,€ 204,9.3,Wonderful,131
"''MB'' apartamentai Mano jūra 2 komplekse, Kunigiškiai",€ 263,9.6,Exceptional,7
Meduza Hotel,€ 405,8.7,Excellent,577
Agava,€ 246,9.3,Wonderful,362
Gedimino 1,€ 333,9.1,Wonderful,250
Viešbutis Prie Fontano,€ 366,8.1,Very Good,446
Vila Elvina,€ 304,9.3,Wonderful,364
Alka Boutique Apartments & SPA,€ 384,7.5,Good,548
Labas Rytas Vila,€ 574,9.3,Wonderful,726
Šalia Birutės parko 2,€ 222,8.1,Very Good,10
"Gražus butas, ramioje kaiminystėje, netoli jūros",€ 312,8.7,Excellent,3
Raze,€ 310,8.0,Very Good,335
Stase,€ 186,6.9,Review score,416
Apartamentai Druskininkų 7B,€ 253,9.6,Exceptional,303
JūraSpot,€ 306,9.0,Wonderful,30
Arciau Juros,€ 396,9.3,Wonderful,281
Apartamentai Pas Aldoną,€ 186,9.2,Wonderful,40
Vila Vakaré,€ 261,8.5,Very Good,139
Cozy Apartment Pool View,€ 294,9.0,Wonderful,13
V&V Apartments,€ 330,10,Exceptional,1
Ramybes sala,€ 174,9.4,Wonderful,246
Atostogų Parkas Hotel,€ 624,8.9,Excellent,"2,946"
Astos Vila,€ 246,9.3,Wonderful,548
Senoji Hansa Hotel,€ 486,9.2,Wonderful,"1,345"
Smiltelės Apartamentai Booking Palanga LT,€ 448,8.3,Very Good,32
Altas,€ 225,8.2,Very Good,49
Igno Palėpė,€ 246,9.5,Exceptional,39
Diamond Beach Apartments,€ 261,10,Exceptional,6
Rooms in Palanga,€ 159,9.3,Wonderful,135
Izabelės apartamentai,€ 188,9.2,Wonderful,602
Palanga 777,€ 216,7.0,Good,382
I&M Palanga,€ 306,10,Exceptional,12
